,name,country,lon,lat,humidity,temp_max,wind_speed,cloudness
321,Mango,US,-82.3065,27.9797,92,69.1,0,75
322,Challapata,BO,-66.7667,-18.9,77,47.61,6.93,100
323,Saint Paul Harbor,US,-152.4072,57.79,92,24.87,17.81,100
324,Hobyo,SO,48.5268,5.3505,59,81.41,21.27,92
325,Pailitas,CO,-73.6255,8.9565,72,70.18,4.83,68
326,Iqaluit,CA,-68.5145,63.7506,67,-27.31,18.01,55
327,Alappuzha,IN,76.3264,9.49,69,82.15,6.6,21
328,Bousso,TD,16.7117,10.4795,19,73.69,11.61,84
329,Cherkasskoye,RU,47.2167,52.4333,89,13.44,5.03,100
330,Chardara,KZ,67.9692,41.2547,50,42.12,3.11,12
331,Seevetal,DE,9.9667,53.4,97,37.69,5.75,75
332,Geilo,NO,8.2076,60.5333,99,6.49,3.71,95
333,Clyde River,CA,-68.5914,70.4692,98,-8.3,4.63,100
334,Pitkyaranta,RU,31.4792,61.5734,100,-4.5,4.18,59
335,High Rock,BS,-78.2833,26.6208,71,69.82,10.29,100
336,Tual,ID,132.75,-5.6667,72,83.71,11.99,99
337,San Cristobal,VE,-72.225,7.7669,88,59.72,2.24,93
338,Sibiti,CG,13.3499,-3.6819,95,72.32,2.06,100
339,Kastamonu Province,TR,33.6667,41.5,84,39.22,3.06,100
340,Ixtapa,MX,-105.2,20.7,88,67.23,3.71,100
341,Mahalapye,BW,26.8142,-23.1041,46,75.61,14.56,81
342,Lewistown,US,-77.5714,40.5992,81,30.43,8.05,100
343,Salinópolis,BR,-47.3561,-0.6136,91,74.79,4.59,99
344,Strelka,RU,93.0344,58.0728,91,15.03,11.43,100
345,Kibala,TD,18.3463,9.1104,19,78.19,7.27,86
346,Zhigansk,RU,123.3711,66.7697,95,-27.83,18.45,100
347,Havelock,US,-76.9013,34.8791,94,60.94,3,100
348,Makakilo City,US,-158.0858,21.3469,80,71.92,3.44,20
349,Touros,BR,-35.4608,-5.1989,82,76.1,9.24,96
350,Tezu,IN,96.1667,27.9167,30,78.76,3.33,10
351,Louis Trichardt,ZA,29.9032,-23.0439,56,73.49,5.53,23
352,Koumac,NC,164.2833,-20.5667,78,81.37,16.73,10
353,Camacha,PT,-16.3333,33.0833,82,60.22,10.36,20
354,Padang,ID,100.3543,-0.9492,80,84.25,3.51,100
355,Verkhnevilyuysk,RU,120.3167,63.4453,97,-27.09,3.62,15
356,Dalbandin,PK,64.4101,28.8947,37,51.22,4.07,0
357,Kushiro,JP,144.3747,42.975,76,25.27,5.55,5
358,Ha Tinh,VN,105.9,18.3333,78,74.62,5.68,72
359,Bambous Virieux,MU,57.7575,-20.3428,89,81.21,5.75,75
360,Roald,NO,6.1333,62.5833,60,35.74,13.8,0
361,Agronom,RU,39.1939,45.1387,87,41.85,4.47,0
362,Udarnyy,RU,42.8611,54.3409,86,23.45,8.68,100
363,Constitución,CL,-72.4167,-35.3333,90,57.31,4.63,33
364,Mehamn,NO,27.8492,71.0357,89,26.51,22.19,100
365,Urengoy,RU,78.3667,65.9667,97,-11.45,8.32,79
366,Prince Rupert,CA,-130.3201,54.3161,61,46.49,16.11,100
367,Robertsport,LR,-11.3686,6.7533,84,78.01,3.13,96
368,Okha,RU,142.9478,53.5739,93,4.59,24.99,100
369,Río Gallegos,AR,-69.2181,-51.6226,47,53.65,11.5,0
370,Envira,BR,-70.2167,-7.3,98,71.74,1.39,100
371,College,US,-147.8028,64.8569,60,1.35,8.05,100
372,Muzhi,RU,64.6667,65.3667,97,-16.94,4.21,96
373,Te Anau,NZ,167.7167,-45.4167,84,66.2,4.56,43
374,Norman Wells,CA,-126.8329,65.282,98,-19.21,1.41,100
375,Tromsø,NO,18.957,69.6496,86,21.22,11.5,75
376,Puerto Escondido,MX,-97.0667,15.85,72,76.35,3.94,84
377,Ubari,LY,12.7805,26.5921,34,42.53,8.86,0
378,Skibbereen,IE,-9.2667,51.55,89,53.4,15.23,100
379,Aykhal,RU,111.5,66.0,94,1.63,13.4,100
