,name,country,lon,lat,humidity,temp_max,wind_speed,cloudness
262,Burē,ET,37.0667,10.7,26,79.66,4.05,99
263,Goderich,CA,-81.7165,43.7501,68,25.92,9.22,100
264,Northam,GB,-4.2167,51.0333,97,54.48,11.45,100
265,Port Blair,IN,92.75,11.6667,74,78.3,9.51,58
266,Ulladulla,AU,150.4667,-35.35,98,65.77,4.74,100
267,Raudeberg,NO,5.1352,61.9875,89,35.2,3.0,10
268,San Rafael,AR,-68.3301,-34.6177,39,77.92,9.28,85
269,Fukuechō,JP,128.8419,32.6881,53,56.44,8.99,0
270,Malmo,SE,13.0007,55.6059,80,34.9,10.22,100
271,Łańcut,PL,22.2291,50.0687,74,27.25,13.8,0
272,Yongchang,CN,119.7317,30.0381,62,49.55,0.89,0
273,Sungai Besar,MY,100.9867,3.6746,86,84.25,6.8,100
274,São João da Barra,BR,-41.0511,-21.6403,86,75.29,14.88,91
275,Bilokurakyne,UA,38.7307,49.5341,86,10.78,8.28,67
276,Aljezur,PT,-8.8033,37.3191,85,62.96,8.16,99
277,Grand-Santi,GF,-54.3833,4.25,91,77.43,1.86,100
278,Codrington,AU,141.9667,-38.2667,86,52.68,4.97,75
279,Karpathos,GR,27.2132,35.507,44,55.36,14.97,20
280,Manitouwadge,CA,-85.8403,49.1215,98,3.92,2.71,50
281,North Platte,US,-100.7654,41.1239,39,39.38,5.99,21
282,Cumana,VE,-64.1775,10.4635,85,87.89,1.28,89
283,Noumea,NC,166.4572,-22.2763,79,75.18,10.29,28
284,Kochki,RU,80.4806,54.3358,98,30.09,10.33,100
285,Mount Gambier,AU,140.7667,-37.8333,82,55.31,8.05,87
286,Kikwit,CD,18.8162,-5.041,99,70.47,1.97,100
287,Hong Kong,HK,114.1577,22.2855,82,69.33,8.01,99
288,Tvøroyri,FO,-6.8111,61.5556,65,36.79,28.36,88
289,Kostrzyn,PL,17.2281,52.3985,70,30.16,8.01,100
290,Necochea,AR,-58.7368,-38.5473,47,64.04,8.86,0
291,Palu,ID,119.8707,-0.8917,91,75.92,0.29,100
292,College,US,-147.8028,64.8569,84,6.28,8.05,90
293,Chinhoyi,ZW,30.2,-17.3667,64,77.31,5.17,88
294,Menongue,AO,17.691,-14.6585,34,86.77,3.4,81
295,Iberia,US,-91.7507,29.9502,100,53.98,0.0,1
296,Tymovskoye,RU,142.655,50.8456,97,-2.27,4.83,100
